Titre;Date_debut;Date_fin;Lieu;Description
R1.07 TP;20231215T070000Z;20231215T090000Z;G_019;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.05;20231123T070000Z;20231123T090000Z;D_024;\n\nRT1-TD A\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231215T070000Z;20231215T090000Z;D_110;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231002T060000Z;20231002T080000Z;G_011_AMPHI;\n\nRT1-S1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20240110T150000Z;20240110T170000Z;G_012;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.PORTFOLIO en 2EME;20231222T150000Z;20231222T170000Z;G_002;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.07 TP;20231213T150000Z;20231213T170000Z;G_004;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.08 FL & PM;20230908T060000Z;20230908T080000Z;G_012;\n\nRT1-TD B\nLASSOUED FARID\nMARTINI PIERRE\n(Exporté le:10/
R1.07 TD 2H;20231006T060000Z;20231006T080000Z;D_110;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.05 SUIVI;20240122T080000Z;20240122T090000Z;G_002;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20231010T060000Z;20231010T080000Z;G_007;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 1H;20231219T100000Z;20231219T110000Z;G_004;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.12 2H;20231004T080000Z;20231004T100000Z;D_032;\n\nRT1-TD B\nArmoire PC portable\nNEJJAR NABIH\n(Exporté le:
SAE1.01 SUIVI;20231108T130000Z;20231108T140000Z;G_007;\n\nRT1-TP A2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TD 2H;20231005T060000Z;20231005T080000Z;D_110;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.01c;20231027T140000Z;20231027T160000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.13;20231026T060000Z;20231026T080000Z;G_003;\n\nRT1-TP A1\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\
R1.01c;20231108T090000Z;20231108T110000Z;G_012;\n\nRT1-TP A1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
SAE1.05 TP 2H;20240112T070000Z;20240112T090000Z;D_110;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.04 TP;20231110T150000Z;20231110T170000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
R1.01b;20230918T120000Z;20230918T160000Z;G_003;\n\nRT1-TP A2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.02 TP 2H EN 3EME;20231220T130000Z;20231220T150000Z;G_019;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.08 (DS TP) FL;20231009T120000Z;20231009T150000Z;G_012b;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.11;20230929T120000Z;20230929T140000Z;D_024;\n\nRT1-TD A\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
R1.08 (TP) PM;20231009T060000Z;20231009T080000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.06 (DS);20231018T080000Z;20231018T090000Z;G_011_AMPHI;\n\nRT1-S1\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:47)
R1.08 (TP) FL;20231002T080000Z;20231002T100000Z;G_012b;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.15;20231121T150000Z;20231121T163000Z;G_004;\n\nRT1-TP A2\nGAYA PATRICK\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 1H;20231219T140000Z;20231219T150000Z;G_002;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.04 PRE CH 2H;20230904T140000Z;20230904T160000Z;D_026;\n\nRT1-TD B\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
SAE1.02 4H PRESENTATION ORALE EN DERNIER;20240117T130000Z;20240117T170000Z;G_019;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.06 1\,5H;20230915T123000Z;20230915T140000Z;D_026;\n\nRT1-TD A\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.10;20230929T080000Z;20230929T100000Z;D_032;\n\nRT1-TD A\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)\
LAN Party;20240124T070000Z;20240124T110000Z;G_019\,G_012\,G_007\,G_004\,G_003\,G_002;\n\nRT3-TD C (CYBER)\nRT1-S1\nRT2-S3\n(Exporté le:10/01/2024
R1.02;20231027T060000Z;20231027T080000Z;G_004;\n\nRT1-TD B\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.01b;20230918T080000Z;20230918T100000Z;D_110;\n\nRT1-TD B\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
SAE1.04 SUIVI;20240110T160000Z;20240110T170000Z;G_004;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
SAE1.04 SUIVI;20240122T070000Z;20240122T080000Z;G_002;\n\nRT1-TP A1\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231113T130000Z;20231113T150000Z;D_032;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.04 TP;20231121T130000Z;20231121T150000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
Contrôle des Absences;20231108T121500Z;20231108T123000Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
SAE1.01 2H;20231020T140000Z;20231020T160000Z;G_003;\n\nRT1-TD A\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231222T130000Z;20231222T150000Z;G_003;\n\nRT1-TP B2\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.01c;20231027T120000Z;20231027T140000Z;G_012;\n\nRT1-TP B2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.07 TP;20231124T090000Z;20231124T110000Z;G_012;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231110T070000Z;20231110T090000Z;D_024;\n\nRT1-TD B\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.07 TD 2H;20230921T060000Z;20230921T080000Z;G_003;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20231024T120000Z;20231024T140000Z;G_002;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231109T090000Z;20231109T110000Z;D_110;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.03 1H;20240110T160000Z;20240110T170000Z;G_007;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 TP 2H EN 3EME;20231220T150000Z;20231220T170000Z;G_019;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.13;20231106T090000Z;20231106T110000Z;D_110;\n\nRT1-TP A1\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\
Soutien RT1-RT2 (Non Obligatoire);20231207T130000Z;20231207T170000Z;G_002\,D_110\,G_003\,G_019\,G_004\,G_007\,D_024;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231013T080000Z;20231013T100000Z;D_110;\n\nRT1-TD B\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.07 TP;20231214T090000Z;20231214T110000Z;D_110;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.11;20240202T090000Z;20240202T110000Z;D_032;\n\nRT1-TD A\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20230919T060000Z;20230919T080000Z;G_012;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231107T070000Z;20231107T090000Z;G_004;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.10;20230922T080000Z;20230922T100000Z;D_032;\n\nRT1-TD A\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)\
SAE1.04 EN 1ER;20231221T070000Z;20231221T090000Z;G_011_AMPHI;\n\nRT1-S1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 06:
R1.05;20231117T090000Z;20231117T110000Z;D_026;\n\nRT1-TD B\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231205T090000Z;20231205T110000Z;G_019;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.02;20231219T090000Z;20231219T100000Z;D_110;\n\nRT1-TD B\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.04 PRE CH 2H;20230911T140000Z;20230911T160000Z;D_024;\n\nRT1-TD B\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.04 TP;20231117T150000Z;20231117T170000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
SAE1.02 SUIVI;20240108T100000Z;20240108T110000Z;G_007;\n\nRT1-TP A1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
SAE1.PORTFOLIO en 2EME;20231222T090000Z;20231222T110000Z;G_003;\n\nRT1-TP B1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
SAE1.02;20240109T130000Z;20240109T140000Z;G_012;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.08 (TP) PM;20231006T120000Z;20231006T140000Z;G_012;\n\nRT1-TP B2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.08 (TP) FL;20230927T080000Z;20230927T100000Z;G_012;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.01b;20230920T060000Z;20230920T100000Z;G_003;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.05 2H;20240112T130000Z;20240112T150000Z;G_002;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
SAE1.04 SUIVI;20240109T140000Z;20240109T150000Z;G_007;\n\nRT1-TP B1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.11;20231025T080000Z;20231025T100000Z;D_024;\n\nRT1-TP B2\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
R1.13;20230925T080000Z;20230925T100000Z;D_026;\n\nRT1-TD A\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\n
R1.09 (DS TP);20240110T090000Z;20240110T100000Z;G_004;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.04 PRE CCH 1H;20230911T100000Z;20230911T110000Z;D_026;\n\nRT1-TD A\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.01c;20231107T070000Z;20231107T090000Z;G_012;\n\nRT1-TP B1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.11;20240119T073000Z;20240119T090000Z;D_024;\n\nRT1-TP A1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.15;20231208T090000Z;20231208T103000Z;D_110;\n\nRT1-TP B2\nGAYA PATRICK\n(Exporté le:10/01/2024 06:47)\n
R1.12 SUIVI PORTFOLIO;20231016T100000Z;20231016T110000Z;vide;\n\nRT1-S1\nBIARD MATHIEU\nBONNARDOT FREDERIC\nCHAMBERT CHRIS
Soutien RT1-RT2 (Non Obligatoire);20231005T120000Z;20231005T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,G_007\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231129T150000Z;20231129T170000Z;D_026;\n\nRT1-TP B2\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
POINT INFORMATION AUX RT1;20231012T100000Z;20231012T103000Z;G_011_AMPHI;\n\nBUT RT 1A\nNEJJAR NABIH\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231020T060000Z;20231020T080000Z;D_110;\n\nRT1-TD B\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.01c;20231025T060000Z;20231025T080000Z;G_012;\n\nRT1-TP A1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.08 FL;20230911T120000Z;20230911T140000Z;G_012;\n\nRT1-TD B\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\n
SAE1.02;20231219T090000Z;20231219T100000Z;G_004;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.01c;20231108T150000Z;20231108T170000Z;G_012;\n\nRT1-TP B2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.14;20231215T150000Z;20231215T170000Z;G_019;\n\nRT1-TP A1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
R1.02;20231116T070000Z;20231116T090000Z;D_110;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.03;20231113T130000Z;20231113T170000Z;G_019;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.11;20230918T140000Z;20230918T160000Z;D_026;\n\nRT1-TD B\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
SAE1.02 2H;20231221T090000Z;20231221T110000Z;G_002;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20231206T090000Z;20231206T110000Z;G_019;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231018T120000Z;20231018T140000Z;D_032;\n\nRT1-TD B\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 06
Contrôle des Absences;20231025T100000Z;20231025T101500Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
SAE1.04 SUIVI;20240110T140000Z;20240110T150000Z;G_004;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
SAE1.02 2H;20231213T070000Z;20231213T090000Z;G_004b;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
R1.08 (TP) FL;20230928T060000Z;20230928T080000Z;G_012;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.13;20231025T060000Z;20231025T080000Z;G_004;\n\nRT1-TP B2\nBIARD MATHIEU\nGIM equipement Jocker\n(Exporté
R1.10;20231206T130000Z;20231206T150000Z;D_026;\n\nRT1-TP B1\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
R1.14;20231127T090000Z;20231127T110000Z;D_026;\n\nRT1-TD B\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
VISITE BU TPA2 présence OBLIGATOIRE;20230919T070000Z;20230919T080000Z;vide;\n\nRT1-TP A2\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
LAN Party;20240124T120000Z;20240124T170000Z;G_002\,G_003\,G_004\,G_007\,G_012\,G_019;\n\nRT3-TD C (CYBER)\nRT3-TD R (ROM)\nRT1-S1\nRT2-S3\n(Export
R1.13;20231004T060000Z;20231004T080000Z;D_024;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.02 DS TP;20231214T080000Z;20231214T110000Z;G_019;\n\nRT1-TP A1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.01c;20231019T080000Z;20231019T100000Z;G_012;\n\nRT1-TD A\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231120T130000Z;20231120T150000Z;G_004;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.01 SUIVI;20230919T070000Z;20230919T080000Z;G_003;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TP;20231213T150000Z;20231213T170000Z;G_019;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.15;20230915T120000Z;20230915T140000Z;D_110;\n\nRT1-TD B\nGAYA PATRICK\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231220T130000Z;20231220T150000Z;D_026;\n\nRT1-TP B2\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
R1.02;20231124T130000Z;20231124T170000Z;G_003;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
SAE1.01 SUIVI;20230919T060000Z;20230919T070000Z;G_003;\n\nRT1-TP A2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TD 2H;20231005T080000Z;20231005T100000Z;D_110;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.01b DS TP;20231003T120000Z;20231003T160000Z;G_007;\n\nRT1-TP A2\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.09;20240111T070000Z;20240111T090000Z;G_004;\n\nRT1-TP A1\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231206T150000Z;20231206T170000Z;D_026;\n\nRT1-TP B2\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
Soutien RT1-RT2 (Non Obligatoire);20230928T120000Z;20230928T160000Z;G_002\,D_110\,G_003\,G_004\,G_007\,D_026\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.02 DS TP;20231211T080000Z;20231211T110000Z;G_019;\n\nRT1-TP B2\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.11;20231004T080000Z;20231004T100000Z;D_024;\n\nRT1-TD A\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
SAE1.01 1H;20231013T060000Z;20231013T070000Z;G_002;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.01c TP DS;20231115T130000Z;20231115T150000Z;G_012;\n\nRT1-TP B1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
Contrôle des Absences;20230906T114500Z;20230906T120000Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
R1.14;20231215T090000Z;20231215T110000Z;G_019;\n\nRT1-TP B1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231201T070000Z;20231201T080000Z;D_024;\n\nRT1-TD B\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.03;20231110T130000Z;20231110T170000Z;G_019;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.13;20230905T080000Z;20230905T100000Z;D_032;\n\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20231221T090000Z;20231221T110000Z;G_012;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
Contrôle des Absences;20231124T124500Z;20231124T130000Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
R1.06 2H;20230913T060000Z;20230913T080000Z;D_026;\n\nRT1-TD A\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.13;20231004T140000Z;20231004T160000Z;D_026;\n\nRT1-TD A\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231128T130000Z;20231128T150000Z;G_016;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.10;20231129T130000Z;20231129T150000Z;D_026;\n\nRT1-TP B1\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
R1.13;20230928T060000Z;20230928T080000Z;D_024;\n\nRT1-TD A\nGRIZONNET YANN\n(Exporté le:10/01/2024 06:47)\n
R1.03 DS TP;20231128T070000Z;20231128T110000Z;G_019;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.11;20231215T150000Z;20231215T170000Z;G_003;\n\nRT1-TP A2\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.08 PM;20230918T080000Z;20230918T100000Z;G_012;\n\nRT1-TD A\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
R1.08 FL;20230913T060000Z;20230913T080000Z;G_012;\n\nRT1-TD B\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231129T150000Z;20231129T170000Z;D_032;\n\nRT1-TP A2\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.13;20230925T120000Z;20230925T140000Z;D_024;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
SAE1.PORTFOLIO;20230915T100000Z;20230915T110000Z;D_032;\n\nRT1-S1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 06:
R1.06;20230905T060000Z;20230905T080000Z;G_011_AMPHI;\n\nRT1-S1\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:47)
SAE1.01 1H;20231026T080000Z;20231026T090000Z;G_012;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
R1.07 DS TP 2H;20231222T090000Z;20231222T110000Z;D_110;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.09;20231206T070000Z;20231206T090000Z;G_012;\n\nRT1-TD B\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.04 TP;20231124T150000Z;20231124T170000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
SAE1.01 SUIVI;20231013T060000Z;20231013T070000Z;G_007;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
Contrôle des Absences;20231012T103000Z;20231012T104500Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
R1.11;20231110T090000Z;20231110T110000Z;D_024;\n\nRT1-TD A\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.14 (DS);20240109T090000Z;20240109T110000Z;G_011_AMPHI;\n\nRT1-S1\nANDRE NOEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 1H;20231026T090000Z;20231026T100000Z;G_012;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.01c TP DS;20231114T130000Z;20231114T150000Z;G_012;\n\nRT1-TP A1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.04 PRE CH 1H;20230926T100000Z;20230926T110000Z;D_024;\n\nRT1-TD B\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
SAE1.01 2H;20231016T120000Z;20231016T140000Z;G_019;\n\nRT1-TP A1\n(Exporté le:10/01/2024 06:47)\n
R1.04 PRE CH 2H;20230911T080000Z;20230911T100000Z;D_024;\n\nRT1-TD B\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.11;20231010T080000Z;20231010T100000Z;D_024;\n\nRT1-TP B2\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
SAE1.01 1H;20230918T070000Z;20230918T080000Z;G_004;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
R1.01c;20231113T130000Z;20231113T150000Z;G_012;\n\nRT1-TP A1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
SAE1.03 SUIVI;20240111T090000Z;20240111T100000Z;G_007;\n\nRT1-TP A1\nEL BADAOUI MOHAMED\n(Exporté le:10/01/2024 06:
SAE1.02 SUIVI;20240108T130000Z;20240108T140000Z;G_019;\n\nRT1-TP B1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.11;20231124T090000Z;20231124T110000Z;D_032;\n\nRT1-TD B\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231110T150000Z;20231110T170000Z;D_110;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.04 TP;20231106T150000Z;20231106T170000Z;G_004;\n\nRT1-TP A1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
SAE1.04 1h EN 2EME;20240112T090000Z;20240112T100000Z;D_110;\n\nRT1-TP A1\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.01b DS TP;20231003T060000Z;20231003T100000Z;G_007;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.01c;20231024T140000Z;20231024T160000Z;G_012;\n\nRT1-TP B1\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.06;20231003T120000Z;20231003T160000Z;G_004;\n\nRT1-TP A1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.07 TP;20231124T070000Z;20231124T090000Z;G_012;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231213T150000Z;20231213T170000Z;D_026;\n\nRT1-TP B2\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
R1.01c;20231024T060000Z;20231024T080000Z;G_012;\n\nRT1-TP B2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.07 TD 2H;20230922T060000Z;20230922T080000Z;G_003;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.09;20231219T100000Z;20231219T120000Z;D_110;\n\nRT1-TD B\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.11;20231208T073000Z;20231208T090000Z;D_032;\n\nRT1-TD B\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
SAE1.03 2H;20240112T150000Z;20240112T170000Z;G_007;\n\nRT1-TP B2\n(Exporté le:10/01/2024 06:47)\n
R1.04 TP;20231106T130000Z;20231106T150000Z;G_004;\n\nRT1-TP B1\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231212T070000Z;20231212T090000Z;D_110;\n\nRT1-TP A2\nArmoire PC portable\nANDRE NOEL\n(Exporté le:1
R1.07 TD 1H;20231019T090000Z;20231019T100000Z;D_110;\n\nRT1-TD B\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.05;20231114T150000Z;20231114T170000Z;D_026;\n\nRT1-TD A\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.06 2H;20230906T083000Z;20230906T103000Z;D_026;\n\nRT1-TD A\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:4
R1.12 2H;20231115T070000Z;20231115T090000Z;D_032;\n\nRT1-TD A\nNEJJAR NABIH\nArmoire PC portable\n(Exporté le:
